area_type,availability,society,location,size,total_sqft,bath,balcony,price
residential,Ready To Move                    31-Jan,,section 2 block A,3 BHK,1200,3,2,20000
residential,Ready To Move                    31-Jan,,section 2 block B,3 BHK,1200,3,2,20000
residential,Ready To Move,,section 2 blok A,3 BHK,1200,3,2,21000
non-residential,Ready To Move,,section 2 blok A,2 BHK,800,2,1,12000
non-residential,Ready To Move,,section 2 blok A,2 BHK,800,2,1,12500
non-residential,Ready To Move,,section 2 blok C,2 BHK,800,2,1,13000
non-residential,Ready To Move                    08-Feb,,section 2 blok C,2 BHK,800,2,1,13000
non-residential,Ready To Move,,   ,3 BHK,1050,2,2,18000
non-residential,Ready To Move,,,2 BHK,750,2,1,10500
non-residential,Ready To Move,,,2 BHK,800,3,1,13000
non-residential,10-Feb,,,3 BHK,1050,2,1,18000
residential,Ready To Move,,,2 BHK,800,2,1,13000
residential,Ready To Move,,,3 BHK,1050,2,2,18000
residential,Ready To Move,,,2 BHK,800,2,1,18000
residential,Ready To Move,,,3 BHK,700,2,1,14000
residential,Ready To Move,,,3 BHK,1150,2,1,14000
residential,Ready To Move                    15-Feb,,,3 BHK,1250,3,2,24000
residential,Ready To Move,,,3 BHK,1000,2,1,14000
non-residential,Ready To Move,,,3 BHK,750,2,1,14500
residential,Ready To Move,,,2 BHK,800,2,1,15000
non-residential,Ready To Move,,,3 BHK,1000,2,1,18000
non-residential,Ready To Move,,,2 BHK,850,2,1,13000
residential,Ready To Move,,,3 BHK,1100,3,2,20000
residential,Ready To Move,,,3 BHK,1150,3,2,22000
residential,Ready To Move,,,3 BHK,1200,3,2,23500
residential,Ready To Move                    19-Feb,,,3 BHK,1250,3,2,24500
residential,Ready To Move,,,3 BHK,1050,3,2,18500
non-residential,Ready To Move,,,2 BHK,800,2,1,14000
non-residential,Ready To Move,,,2 BHK,750,2,1,13500
non-residential,Ready To Move,,,2 BHK,850,2,1,14000
non-residential,Ready To Move,,,2 BHK,800,2,1,13000
non-residential,Ready To Move,,,2 BHK,800,2,1,13000
non-residential,Ready To Move,,,2 BHK,700,2,1,12500
non-residential,Ready To Move,,,2 BHK,700,2,1,11500
non-residential,Ready To Move,,,1 BHK,400,1,0,9500
non-residential,Ready To Move,,,3 BHK,1000,2,1,14500
non-residential,Ready To Move,,,3 BHK,950,2,1,12000
non-residential,Ready To Move                    22-Feb,,,3 BHK,1000,2,1,14000
non-residential,Ready To Move,,,3 BHK,1050,3,1,16000
non-residential,Ready To Move,,,2 BHK,800,2,1,13000
residential,Ready To Move,,,3 BHK,1100,3,2,19500
residential,Ready To Move,,,3 BHK,1250,3,2,25000
residential,Ready To Move,,,3 BHK,1100,3,2,18000
non-residential,Ready To Move,,,2 BHK,800,2,1,10000
non-residential,Ready To Move                   25-Feb,,,2 BHK,700,2,1,12000
non-residential,Ready To Move,,,2 BHK,750,2,1,13000
non-residential,Ready To Move,,,2 BHK,750,2,1,13000
residential,Ready To Move,,,2 BHK,800,2,1,14000
residential,Ready To Move,,,3 Bedroom,950,2,1,15500
